[21:11:27] [Servidor] Iniciando servidor na porta 5001
[21:11:30] [Servidor] Mensagem recebida: [Mensagem] id: 0 | type: sync | payload: 
[21:11:53] [Servidor] Enviando para o cliente (10.254.225.26, 6007) a mensagem: [Mensagem] id: 25 | type: data | payload: 1890.3609533723143

[21:11:54] [Servidor] Enviando para o cliente (10.254.225.29, 4000) a mensagem: [Mensagem] id: 26 | type: data | payload: 1877.8544880788663

[21:11:54] [Servidor] Enviando para o cliente (10.254.225.28, 4562) a mensagem: [Mensagem] id: 26 | type: data | payload: 1877.8544880788663

[21:11:54] [Servidor] Enviando para o cliente (10.254.225.26, 6007) a mensagem: [Mensagem] id: 26 | type: data | payload: 1877.8544880788663

[21:11:55] [Servidor] Mensagem recebida: [Mensagem] id: 1 | type: end | payload: 

[21:11:55] [Servidor] Removendo o cliente (10.254.225.28, 4562) da lista
[21:11:55] [Servidor] Enviando para o cliente (10.254.225.28, 4562) a mensagem: [Mensagem] id: 27 | type: end | payload: bye!

[21:11:55] [Servidor] Enviando para o cliente (10.254.225.29, 4000) a mensagem: [Mensagem] id: 28 | type: data | payload: 2299.039396099715

[21:11:55] [Servidor] Enviando para o cliente (10.254.225.26, 6007) a mensagem: [Mensagem] id: 28 | type: data | payload: 2299.039396099715

[21:11:56] [Servidor] Enviando para o cliente (10.254.225.29, 4000) a mensagem: [Mensagem] id: 29 | type: data | payload: 2107.673663233839

[21:11:56] [Servidor] Enviando para o cliente (10.254.225.26, 6007) a mensagem: [Mensagem] id: 29 | type: data | payload: 2107.673663233839

[21:11:57] [Servidor] Enviando para o cliente (10.254.225.29, 4000) a mensagem: [Mensagem] id: 30 | type: data | payload: 2139.3410130989096

[21:11:57] [Servidor] Enviando para o cliente (10.254.225.26, 6007) a mensagem: [Mensagem] id: 30 | type: data | payload: 2139.3410130989096

[21:11:58] [Servidor] Enviando para o cliente (10.254.225.29, 4000) a mensagem: [Mensagem] id: 31 | type: data | payload: 1685.2992016494002

[21:11:58] [Servidor] Enviando para o cliente (10.254.225.26, 6007) a mensagem: [Mensagem] id: 31 | type: data | payload: 1685.2992016494002

[21:11:59] [Servidor] Enviando para o cliente (10.254.225.29, 4000) a mensagem: [Mensagem] id: 32 | type: data | payload: 1638.4227468946399

[21:11:59] [Servidor] Enviando para o cliente (10.254.225.26, 6007) a mensagem: [Mensagem] id: 32 | type: data | payload: 1638.4227468946399

[21:12:00] [Servidor] Enviando para o cliente (10.254.225.29, 4000) a mensagem: [Mensagem] id: 33 | type: data | payload: 1595.6299944453112

[21:12:00] [Servidor] Enviando para o cliente (10.254.225.26, 6007) a mensagem: [Mensagem] id: 33 | type: data | payload: 1595.6299944453112

[21:12:00] [Servidor] Mensagem recebida: [Mensagem] id: 1 | type: end | payload: 

[21:12:00] [Servidor] Removendo o cliente (10.254.225.26, 6007) da lista
[21:12:00] [Servidor] Enviando para o cliente (10.254.225.26, 6007) a mensagem: [Mensagem] id: 34 | type: end | payload: bye!

[21:12:01] [Servidor] Enviando para o cliente (10.254.225.29, 4000) a mensagem: [Mensagem] id: 35 | type: data | payload: 1404.7104623514351

[21:12:02] [Servidor] Enviando para o cliente (10.254.225.29, 4000) a mensagem: [Mensagem] id: 36 | type: data | payload: 1302.4227923572741

[21:12:03] [Servidor] Enviando para o cliente (10.254.225.29, 4000) a mensagem: [Mensagem] id: 37 | type: data | payload: 1380.4292644824561

[21:12:04] [Servidor] Enviando para o cliente (10.254.225.29, 4000) a mensagem: [Mensagem] id: 38 | type: data | payload: 1454.0426719165553

[21:12:05] [Servidor] Enviando para o cliente (10.254.225.29, 4000) a mensagem: [Mensagem] id: 39 | type: data | payload: 1462.1351436611615

[21:12:06] [Servidor] Enviando para o cliente (10.254.225.29, 4000) a mensagem: [Mensagem] id: 40 | type: data | payload: 1328.9996945056823

[21:12:07] [Servidor] Enviando para o cliente (10.254.225.29, 4000) a mensagem: [Mensagem] id: 41 | type: data | payload: 1331.0538570007739

[21:12:08] [Servidor] Enviando para o cliente (10.254.225.29, 4000) a mensagem: [Mensagem] id: 42 | type: data | payload: 1231.712106002224

[21:12:08] [Servidor] Mensagem recebida: [Mensagem] id: 1 | type: end | payload: 

[21:12:08] [Servidor] Removendo o cliente (10.254.225.29, 4000) da lista
[21:12:08] [Servidor] Enviando para o cliente (10.254.225.29, 4000) a mensagem: [Mensagem] id: 43 | type: end | payload: bye!

[21:12:13] [Servidor] Fechando socket de envio...
[21:12:13] [Servidor] Mensagem recebida: [Mensagem] id: 0 | type: self_end | payload: Fechando conexão!!

