[21:13:20] [Servidor] Iniciando servidor na porta 5001
[21:13:23] [Servidor] Mensagem recebida: [Mensagem] id: 0 | type: sync | payload: 
[21:13:43] [Servidor] Enviando para o cliente (10.254.225.29, 4000) a mensagem: [Mensagem] id: 23 | type: data | payload: 846.9670999938701

[21:13:43] [Servidor] Enviando para o cliente (10.254.225.26, 6007) a mensagem: [Mensagem] id: 23 | type: data | payload: 846.9670999938701

[21:13:44] [Servidor] Enviando para o cliente (10.254.225.29, 4000) a mensagem: [Mensagem] id: 24 | type: data | payload: 882.1385606003882

[21:13:44] [Servidor] Enviando para o cliente (10.254.225.26, 6007) a mensagem: [Mensagem] id: 24 | type: data | payload: 882.1385606003882

[21:13:45] [Servidor] Enviando para o cliente (10.254.225.29, 4000) a mensagem: [Mensagem] id: 25 | type: data | payload: 850.2890540977087

[21:13:45] [Servidor] Enviando para o cliente (10.254.225.26, 6007) a mensagem: [Mensagem] id: 25 | type: data | payload: 850.2890540977087

[21:13:46] [Servidor] Enviando para o cliente (10.254.225.29, 4000) a mensagem: [Mensagem] id: 26 | type: data | payload: 935.3859054822286

[21:13:46] [Servidor] Enviando para o cliente (10.254.225.26, 6007) a mensagem: [Mensagem] id: 26 | type: data | payload: 935.3859054822286

[21:13:47] [Servidor] Enviando para o cliente (10.254.225.29, 4000) a mensagem: [Mensagem] id: 27 | type: data | payload: 958.0118982396492

[21:13:47] [Servidor] Enviando para o cliente (10.254.225.26, 6007) a mensagem: [Mensagem] id: 27 | type: data | payload: 958.0118982396492

[21:13:48] [Servidor] Enviando para o cliente (10.254.225.29, 4000) a mensagem: [Mensagem] id: 28 | type: data | payload: 1002.1768167378855

[21:13:48] [Servidor] Enviando para o cliente (10.254.225.26, 6007) a mensagem: [Mensagem] id: 28 | type: data | payload: 1002.1768167378855

[21:13:49] [Servidor] Enviando para o cliente (10.254.225.29, 4000) a mensagem: [Mensagem] id: 29 | type: data | payload: 1071.9896443840576

[21:13:49] [Servidor] Enviando para o cliente (10.254.225.26, 6007) a mensagem: [Mensagem] id: 29 | type: data | payload: 1071.9896443840576

[21:13:49] [Servidor] Mensagem recebida: [Mensagem] id: 1 | type: end | payload: 

[21:13:49] [Servidor] Removendo o cliente (10.254.225.26, 6007) da lista
[21:13:49] [Servidor] Enviando para o cliente (10.254.225.26, 6007) a mensagem: [Mensagem] id: 30 | type: end | payload: bye!

[21:13:50] [Servidor] Enviando para o cliente (10.254.225.29, 4000) a mensagem: [Mensagem] id: 31 | type: data | payload: 1087.7573904111496

[21:13:51] [Servidor] Enviando para o cliente (10.254.225.29, 4000) a mensagem: [Mensagem] id: 32 | type: data | payload: 1081.5751806920352

[21:13:52] [Servidor] Enviando para o cliente (10.254.225.29, 4000) a mensagem: [Mensagem] id: 33 | type: data | payload: 1239.7829298817499

[21:13:53] [Servidor] Enviando para o cliente (10.254.225.29, 4000) a mensagem: [Mensagem] id: 34 | type: data | payload: 1192.8952724950354

[21:13:54] [Servidor] Enviando para o cliente (10.254.225.29, 4000) a mensagem: [Mensagem] id: 35 | type: data | payload: 1024.9183555306408

[21:13:55] [Servidor] Enviando para o cliente (10.254.225.29, 4000) a mensagem: [Mensagem] id: 36 | type: data | payload: 941.9475691592053

[21:13:55] [Servidor] Mensagem recebida: [Mensagem] id: 1 | type: end | payload: 

[21:13:55] [Servidor] Removendo o cliente (10.254.225.29, 4000) da lista
[21:13:55] [Servidor] Enviando para o cliente (10.254.225.29, 4000) a mensagem: [Mensagem] id: 37 | type: end | payload: bye!

[21:14:00] [Servidor] Fechando socket de envio...
[21:14:00] [Servidor] Mensagem recebida: [Mensagem] id: 0 | type: self_end | payload: Fechando conexão!!

